epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2716,1.0021,2.14399,1.26505,0.32318,0.53773,0.36216,0.25041,0.98461,2.46096,1.27597,0.0702308,0.00330769,0.00330769
2,91.8993,0.93166,1.22158,1.18804,0.29002,0.26724,0.22432,0.09457,2.26604,2.79119,2.72149,0.0400981,0.00650834,0.00650834
3,132.559,0.95258,1.06732,1.19869,0.331,0.69411,0.41538,0.25127,1.19064,1.87361,1.46963,0.00983219,0.00957578,0.00957578
4,173.73,1.03049,1.10171,1.23219,0.26203,0.36683,0.20896,0.09145,2.55086,3.75683,4.34386,0.0094006,0.0094006,0.0094006
5,216.594,0.97774,0.98118,1.2051,0.55733,0.70987,0.68853,0.45236,1.17217,1.16707,1.42259,0.0092008,0.0092008,0.0092008
6,260.557,0.94434,0.89995,1.18489,0.53839,0.67262,0.616,0.41319,1.15835,1.28452,1.44884,0.009001,0.009001,0.009001
7,302.697,0.90239,0.85086,1.1669,0.50561,0.60563,0.57157,0.37304,1.24438,1.5114,1.5128,0.0088012,0.0088012,0.0088012
8,344.738,0.86767,0.79464,1.14653,0.55577,0.71484,0.67596,0.46534,1.08904,1.26841,1.39683,0.0086014,0.0086014,0.0086014
9,387.733,0.83196,0.75206,1.12965,0.41484,0.62303,0.53772,0.29732,1.54838,1.75407,1.75947,0.0084016,0.0084016,0.0084016
10,429.127,0.80163,0.71795,1.11607,0.5385,0.74066,0.70343,0.45306,1.15466,1.38773,1.41494,0.0082018,0.0082018,0.0082018
11,469.985,0.78284,0.68631,1.10791,0.60083,0.76211,0.7809,0.51907,1.16251,1.06907,1.44526,0.008002,0.008002,0.008002
12,510.397,0.75869,0.65951,1.09379,0.6005,0.76114,0.72839,0.43924,1.43662,1.14013,1.60258,0.0078022,0.0078022,0.0078022
13,551.853,0.74263,0.63374,1.09051,0.59431,0.69943,0.68409,0.48213,1.04006,1.41074,1.31608,0.0076024,0.0076024,0.0076024
14,593.862,0.716,0.61574,1.07025,0.66706,0.80686,0.82237,0.57683,1.01474,0.83768,1.29008,0.0074026,0.0074026,0.0074026
15,634.955,0.70155,0.59131,1.0689,0.67598,0.78651,0.8045,0.57149,1.02633,0.92449,1.28432,0.0072028,0.0072028,0.0072028
16,676.013,0.67685,0.56981,1.05516,0.68788,0.79142,0.83087,0.57754,1.04818,0.82515,1.32362,0.007003,0.007003,0.007003
17,716.835,0.67745,0.56642,1.05179,0.69476,0.74451,0.80464,0.55889,1.06642,0.92364,1.32612,0.0068032,0.0068032,0.0068032
18,759.788,0.65456,0.54228,1.04665,0.68538,0.82051,0.83515,0.59318,0.98227,0.79052,1.24787,0.0066034,0.0066034,0.0066034
19,801.289,0.64409,0.53417,1.04573,0.7723,0.78319,0.85676,0.61381,0.96812,0.72929,1.25223,0.0064036,0.0064036,0.0064036
20,842.681,0.63547,0.52274,1.03531,0.67036,0.80089,0.84499,0.61592,0.99187,0.84771,1.26777,0.0062038,0.0062038,0.0062038
21,883.838,0.62097,0.51011,1.02808,0.76252,0.85555,0.89464,0.64007,0.97515,0.73397,1.22512,0.006004,0.006004,0.006004
22,927.74,0.60963,0.49068,1.03176,0.69377,0.81888,0.85438,0.62696,0.95604,0.81785,1.23362,0.0058042,0.0058042,0.0058042
23,968.747,0.59875,0.49085,1.02364,0.66922,0.82523,0.84315,0.60719,1.01276,0.82111,1.25845,0.0056044,0.0056044,0.0056044
24,1009.72,0.58694,0.47875,1.01899,0.7921,0.75887,0.86919,0.60969,1.04159,0.73747,1.26723,0.0054046,0.0054046,0.0054046
25,1051.97,0.57859,0.46951,1.01388,0.75359,0.87323,0.89072,0.63594,0.9731,0.65703,1.22645,0.0052048,0.0052048,0.0052048
26,1095.42,0.56814,0.45478,1.01394,0.74498,0.82273,0.88661,0.64131,0.95049,0.74316,1.21004,0.005005,0.005005,0.005005
27,1136.56,0.56368,0.44966,1.00828,0.76834,0.78665,0.8712,0.61574,1.00315,0.75492,1.26407,0.0048052,0.0048052,0.0048052
28,1177.38,0.54807,0.43143,1.00901,0.70795,0.83723,0.85656,0.60227,1.00106,0.74644,1.24348,0.0046054,0.0046054,0.0046054
29,1219.33,0.54055,0.43111,1.00591,0.79132,0.84708,0.88771,0.63757,0.97884,0.65936,1.2181,0.0044056,0.0044056,0.0044056
30,1262.14,0.53193,0.41861,0.99967,0.79623,0.80817,0.89348,0.64144,1.01863,0.69511,1.24273,0.0042058,0.0042058,0.0042058
31,1303.31,0.52406,0.41295,0.9921,0.79259,0.81502,0.88384,0.6359,0.98427,0.68964,1.24712,0.004006,0.004006,0.004006
32,1344.79,0.51642,0.40594,0.99314,0.8246,0.84365,0.91638,0.66815,0.95357,0.59385,1.19942,0.0038062,0.0038062,0.0038062
33,1387.04,0.51026,0.39404,0.9902,0.83607,0.83154,0.90794,0.66036,0.95201,0.59288,1.20397,0.0036064,0.0036064,0.0036064
34,1429.85,0.49614,0.39139,0.98716,0.83496,0.85076,0.9048,0.67205,0.93364,0.60007,1.17996,0.0034066,0.0034066,0.0034066
35,1471.65,0.49228,0.38124,0.98571,0.81737,0.86008,0.91441,0.67087,0.95293,0.61016,1.18739,0.0032068,0.0032068,0.0032068
36,1513.12,0.48735,0.38172,0.98145,0.83232,0.86737,0.91872,0.67943,0.93188,0.58777,1.20486,0.003007,0.003007,0.003007
37,1556.05,0.47531,0.37126,0.97712,0.83007,0.88004,0.9233,0.67424,0.95463,0.58894,1.2015,0.0028072,0.0028072,0.0028072
38,1599.82,0.46683,0.35886,0.97715,0.77064,0.85776,0.90853,0.66749,0.96718,0.69308,1.19985,0.0026074,0.0026074,0.0026074
39,1640.87,0.46157,0.35968,0.97584,0.86022,0.87603,0.93189,0.6837,0.94527,0.54736,1.20628,0.0024076,0.0024076,0.0024076
40,1682.09,0.45356,0.35639,0.96808,0.85491,0.88723,0.92776,0.66968,0.96167,0.55474,1.20246,0.0022078,0.0022078,0.0022078
41,1725.56,0.79104,0.62539,1.21147,0.81439,0.82387,0.89452,0.64243,0.98168,0.6883,1.20091,0.002008,0.002008,0.002008
42,1766.27,0.75385,0.46344,1.16947,0.87455,0.84368,0.92693,0.68318,0.94336,0.58288,1.17842,0.0018082,0.0018082,0.0018082
43,1806.27,0.74111,0.43935,1.16592,0.87631,0.86396,0.9361,0.68771,0.99218,0.54177,1.19082,0.0016084,0.0016084,0.0016084
44,1845.36,0.73371,0.40662,1.15258,0.85503,0.88868,0.93784,0.68418,0.96617,0.54797,1.17251,0.0014086,0.0014086,0.0014086
45,1885.14,0.71242,0.38951,1.14818,0.826,0.88708,0.93352,0.67959,0.97004,0.58794,1.18067,0.0012088,0.0012088,0.0012088
46,1924.98,0.69117,0.36682,1.13026,0.87979,0.8896,0.94436,0.69249,0.95573,0.53833,1.15802,0.001009,0.001009,0.001009
